# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 18 23:30:21 2023
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and sy_snum = 1
# CONSTRAINT:  and tran_flag not null
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_trandep not null
# CONSTRAINT:  and st_mass not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN tran_flag:      Detected by Transits
#
pl_name,hostname,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_mass,st_masserr1,st_masserr2,st_masslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,default_flag,sy_snum,sy_pnum,tran_flag
Kepler-1487 c,Kepler-1487,7.970,1.390,-2.770,0,1.80,0.19,-0.36,0,0.041740,0.001750,-0.001750,0,1,1,2,1
Kepler-1491 c,Kepler-1491,2.440,0.390,-0.530,0,0.99,0.08,-0.07,0,0.029830,0.003090,-0.003090,0,1,1,2,1
Kepler-15 b,Kepler-15,10.760,0.670,-0.780,0,1.02,0.04,-0.05,0,1.126500,,,0,1,1,1,1
Kepler-1514 b,Kepler-1514,12.420,0.258,-0.258,0,1.20,0.07,-0.06,0,0.780500,0.002500,-0.002700,0,1,1,2,1
Kepler-1514 c,Kepler-1514,1.176,0.057,-0.044,0,1.20,0.07,-0.06,0,0.006990,0.000630,-0.000430,0,1,1,2,1
Kepler-1518 c,Kepler-1518,2.900,0.820,-0.680,0,1.06,0.18,-0.13,0,0.029720,0.002510,-0.002510,0,1,1,2,1
Kepler-1610 c,Kepler-1610,2.090,0.350,-0.210,0,0.82,0.10,-0.08,0,0.061780,0.005110,-0.005110,0,1,1,2,1
Kepler-164 e,Kepler-164,4.240,0.690,-0.560,0,0.97,0.07,-0.07,0,0.064170,0.002960,-0.002960,0,1,1,4,1
Kepler-1652 b,Kepler-1652,1.600,0.180,-0.180,0,0.40,0.04,-0.05,0,0.097700,0.006300,-0.006300,0,1,1,1,1
Kepler-1653 b,Kepler-1653,2.170,0.160,-0.230,0,0.72,0.04,-0.03,0,0.066500,0.008000,-0.008000,0,1,1,1,1
Kepler-1654 b,Kepler-1654,9.180,0.213,-0.191,0,1.01,0.06,-0.05,0,0.509600,0.004700,-0.004500,0,1,1,1,1
Kepler-1669 d,Kepler-1669,1.220,0.050,-0.060,0,0.61,0.03,-0.03,0,0.043430,0.003370,-0.003370,0,1,1,3,1
Kepler-177 c,Kepler-177,8.730,0.360,-0.340,0,0.92,0.03,-0.02,0,0.364300,0.005500,-0.005700,0,1,1,2,1
Kepler-18 b,Kepler-18,2.000,0.100,-0.100,0,0.97,0.04,-0.04,0,0.025400,0.000780,-0.000780,0,1,1,3,1
Kepler-18 c,Kepler-18,5.490,0.260,-0.260,0,0.97,0.04,-0.04,0,0.228660,0.000860,-0.000860,0,1,1,3,1
Kepler-18 d,Kepler-18,6.980,0.330,-0.330,0,0.97,0.04,-0.04,0,0.326500,0.001200,-0.001200,0,1,1,3,1
Kepler-1801 c,Kepler-1801,2.910,0.830,-0.420,0,0.94,0.11,-0.09,0,0.081900,0.010200,-0.010200,0,1,1,2,1
Kepler-1814 c,Kepler-1814,1.760,0.130,-0.180,0,0.79,0.07,-0.05,0,0.043310,0.001650,-0.001650,0,1,1,2,1
Kepler-1834 c,Kepler-1834,1.220,0.050,-0.080,0,0.77,0.05,-0.03,0,0.024400,0.001010,-0.001010,0,1,1,2,1
Kepler-1859 c,Kepler-1859,1.660,0.290,-0.230,0,1.09,0.07,-0.08,0,0.014960,0.001110,-0.001110,0,1,1,2,1
Kepler-1869 c,Kepler-1869,0.740,0.120,-0.030,0,0.99,0.05,-0.08,0,0.005950,0.000500,-0.000500,0,1,1,2,1
Kepler-1894 c,Kepler-1894,1.210,0.370,-0.110,0,1.00,0.11,-0.12,0,0.017150,0.001760,-0.001760,0,1,1,2,1
Kepler-1921 c,Kepler-1921,1.410,0.330,-0.570,0,1.25,0.19,-0.23,0,0.004970,0.000320,-0.000320,0,1,1,2,1
Kepler-1976 b,Kepler-1976,12.210,1.960,-1.460,0,0.98,0.07,-0.06,0,0.980200,0.002000,-0.002000,0,1,1,1,1
Kepler-1977 b,Kepler-1977,1.660,0.190,-0.110,0,0.77,0.05,-0.08,0,0.050440,0.003650,-0.003650,0,1,1,1,1
Kepler-1978 b,Kepler-1978,2.670,0.380,-0.210,0,0.87,0.06,-0.10,0,0.112210,0.002750,-0.002750,0,1,1,1,1
Kepler-1979 b,Kepler-1979,29.330,8.820,-2.940,0,1.03,0.13,-0.14,0,0.075890,0.002870,-0.002870,0,1,1,1,1
Kepler-1980 b,Kepler-1980,2.210,0.360,-0.120,0,1.05,0.06,-0.07,0,0.050710,0.004720,-0.004720,0,1,1,1,1
Kepler-1981 b,Kepler-1981,9.230,1.760,-4.100,0,1.52,0.15,-0.38,0,0.086100,0.001860,-0.001860,0,1,1,1,1
Kepler-1982 b,Kepler-1982,0.770,0.140,-0.040,0,1.21,0.08,-0.09,0,0.004720,0.000660,-0.000660,0,1,1,1,1
Kepler-1983 b,Kepler-1983,2.330,0.130,-0.180,0,0.81,0.06,-0.03,0,0.027780,0.002760,-0.002760,0,1,1,1,1
Kepler-1984 b,Kepler-1984,6.810,0.750,-0.900,0,0.45,0.04,-0.06,0,0.031480,0.002280,-0.002280,0,1,1,1,1
Kepler-1985 b,Kepler-1985,2.270,0.250,-0.220,0,0.88,0.06,-0.04,0,0.035680,0.003040,-0.003040,0,1,1,1,1
Kepler-1986 b,Kepler-1986,1.890,0.350,-0.150,0,0.78,0.09,-0.07,0,0.052380,0.004970,-0.004970,0,1,1,1,1
Kepler-1987 b,Kepler-1987,1.230,0.110,-0.090,0,0.80,0.04,-0.08,0,0.031670,0.001840,-0.001840,0,1,1,4,1
Kepler-1987 c,Kepler-1987,1.330,0.120,-0.090,0,0.80,0.04,-0.08,0,0.037170,0.002100,-0.002100,0,1,1,4,1
Kepler-1987 d,Kepler-1987,2.660,0.250,-0.180,0,0.80,0.04,-0.08,0,0.139790,0.002440,-0.002440,0,1,1,4,1
Kepler-1987 e,Kepler-1987,1.920,0.180,-0.130,0,0.80,0.04,-0.08,0,0.077950,0.002820,-0.002820,0,1,1,4,1
Kepler-1988 b,Kepler-1988,1.530,0.300,-0.490,0,1.13,0.19,-0.17,0,0.005140,0.000240,-0.000240,0,1,1,1,1
Kepler-1989 b,Kepler-1989,4.620,1.370,-0.730,0,1.00,0.15,-0.13,0,0.165390,0.001670,-0.001670,0,1,1,1,1
Kepler-1990 b,Kepler-1990,3.270,0.540,-0.330,0,1.03,0.07,-0.07,0,0.095260,0.000230,-0.000230,0,1,1,2,1
Kepler-1990 c,Kepler-1990,0.980,0.170,-0.100,0,1.03,0.07,-0.07,0,0.007980,0.000300,-0.000300,0,1,1,2,1
Kepler-1991 b,Kepler-1991,1.470,0.200,-0.210,0,0.91,0.06,-0.04,0,0.019940,0.001240,-0.001240,0,1,1,2,1
Kepler-1991 c,Kepler-1991,2.570,0.360,-0.360,0,0.91,0.06,-0.04,0,0.061790,0.001390,-0.001390,0,1,1,2,1
Kepler-1992 b,Kepler-1992,0.910,0.090,-0.050,0,0.87,0.05,-0.05,0,0.011350,0.000810,-0.000810,0,1,1,1,1
Kepler-1993 b,Kepler-1993,4.150,1.280,-2.980,0,1.37,0.20,-0.51,0,0.016340,0.000940,-0.000940,0,1,1,1,1
Kepler-1994 b,Kepler-1994,0.510,0.060,-0.050,0,0.93,0.05,-0.05,0,0.002910,0.000240,-0.000240,0,1,1,1,1
Kepler-1995 b,Kepler-1995,4.280,2.210,-0.660,0,0.85,0.07,-0.05,0,0.183690,0.009880,-0.009880,0,1,1,1,1
Kepler-1996 b,Kepler-1996,2.260,0.160,-0.070,0,0.75,0.03,-0.04,0,0.074540,0.002410,-0.002410,0,1,1,2,1
Kepler-1996 c,Kepler-1996,2.810,0.200,-0.080,0,0.75,0.03,-0.04,0,0.125750,0.003190,-0.003190,0,1,1,2,1
Kepler-1997 b,Kepler-1997,2.280,0.720,-0.280,0,1.11,0.15,-0.15,0,0.045530,0.002980,-0.002980,0,1,1,1,1
Kepler-1998 b,Kepler-1998,0.600,0.080,-0.040,0,0.96,0.05,-0.07,0,0.004240,0.000320,-0.000320,0,1,1,1,1
Kepler-1999 b,Kepler-1999,3.290,0.260,-0.300,0,0.63,0.06,-0.06,0,0.143100,0.010700,-0.010700,0,1,1,1,1
Kepler-2000 b,Kepler-2000,2.730,0.100,-0.170,0,0.58,0.03,-0.03,0,0.231320,0.004080,-0.004080,0,1,1,2,1
Kepler-2000 c,Kepler-2000,1.570,0.060,-0.100,0,0.58,0.03,-0.03,0,0.076950,0.005210,-0.005210,0,1,1,2,1
Kepler-2001 b,Kepler-2001,1.040,0.130,-0.080,0,0.86,0.05,-0.09,0,0.017480,0.001830,-0.001830,0,1,1,2,1
Kepler-2001 c,Kepler-2001,1.820,0.230,-0.130,0,0.86,0.05,-0.09,0,0.053040,,,0,1,1,2,1
Kepler-29 b,Kepler-29,2.550,0.120,-0.120,0,0.76,0.02,-0.03,0,0.102000,0.003100,-0.003400,0,1,1,2,1
Kepler-290 d,Kepler-290,0.860,0.120,-0.070,0,0.84,0.07,-0.09,0,0.012820,0.001300,-0.001300,0,1,1,3,1
Kepler-297 d,Kepler-297,32.600,3.600,-2.940,0,0.85,0.06,-0.05,0,0.431970,0.004680,-0.004680,0,1,1,3,1
Kepler-30 b,Kepler-30,3.900,0.200,-0.200,0,0.99,0.08,-0.08,0,0.165000,0.008000,-0.008000,0,1,1,3,1
Kepler-30 c,Kepler-30,12.300,0.400,-0.400,0,0.99,0.08,-0.08,0,1.620000,0.080000,-0.080000,0,1,1,3,1
Kepler-30 d,Kepler-30,8.800,0.500,-0.500,0,0.99,0.08,-0.08,0,0.830000,0.040000,-0.040000,0,1,1,3,1
Kepler-31 b,Kepler-31,5.500,1.100,-1.100,0,1.21,0.17,-0.17,0,0.189500,,,0,1,1,3,1
Kepler-31 c,Kepler-31,5.300,1.100,-1.100,0,1.21,0.17,-0.17,0,0.172900,,,0,1,1,3,1
Kepler-31 d,Kepler-31,3.900,0.800,-0.800,0,1.21,0.17,-0.17,0,0.095900,,,0,1,1,3,1
Kepler-311 d,Kepler-311,2.050,0.330,-0.290,0,0.97,0.08,-0.06,0,0.029080,0.002190,-0.002190,0,1,1,3,1
Kepler-32 b,Kepler-32,2.200,0.200,-0.200,0,0.58,0.05,-0.05,0,0.165000,,,0,1,1,5,1
Kepler-32 c,Kepler-32,2.000,0.200,-0.200,0,0.58,0.05,-0.05,0,0.145300,,,0,1,1,5,1
Kepler-32 d,Kepler-32,2.700,0.200,-0.200,0,0.58,0.05,-0.05,0,0.218100,,,0,1,1,5,1
Kepler-32 e,Kepler-32,1.500,0.100,-0.100,0,0.58,0.05,-0.05,0,0.067100,,,0,1,1,5,1
Kepler-32 f,Kepler-32,0.820,0.070,-0.070,0,0.58,0.05,-0.05,0,0.022400,,,0,1,1,5,1
Kepler-33 b,Kepler-33,1.740,0.180,-0.180,0,1.29,0.06,-0.12,0,0.008680,0.000680,-0.000680,0,1,1,5,1
Kepler-33 c,Kepler-33,3.200,0.300,-0.300,0,1.29,0.06,-0.12,0,0.029770,0.000910,-0.000910,0,1,1,5,1
Kepler-33 d,Kepler-33,5.350,0.490,-0.490,0,1.29,0.06,-0.12,0,0.083140,0.001050,-0.001050,0,1,1,5,1
Kepler-33 e,Kepler-33,4.020,0.380,-0.380,0,1.29,0.06,-0.12,0,0.046700,0.001200,-0.001200,0,1,1,5,1
Kepler-33 f,Kepler-33,4.460,0.410,-0.410,0,1.29,0.06,-0.12,0,0.057900,0.001200,-0.001200,0,1,1,5,1
Kepler-347 d,Kepler-347,3.040,0.450,-0.710,0,1.00,0.07,-0.07,0,0.027020,0.002160,-0.002160,0,1,1,3,1
Kepler-36 c,Kepler-36,3.679,0.096,-0.091,0,1.03,0.02,-0.02,0,0.042530,0.000380,-0.000350,0,1,1,2,1
Kepler-4 b,Kepler-4,4.002,0.213,-0.213,0,1.22,0.05,-0.09,0,0.087000,,,0,1,1,1,1
Kepler-416 d,Kepler-416,1.610,0.230,-0.170,0,0.95,0.07,-0.06,0,0.021670,0.000810,-0.000810,0,1,1,3,1
Kepler-42 c,Kepler-42,0.730,0.200,-0.200,0,0.13,0.05,-0.05,0,0.156000,0.008800,-0.008600,0,1,1,3,1
Kepler-423 b,Kepler-423,13.361,0.583,-0.583,0,0.85,0.04,-0.04,0,1.587200,0.006200,-0.006200,0,1,1,1,1
Kepler-45 b,Kepler-45,10.760,1.230,-1.230,0,0.59,0.06,-0.06,0,3.204000,0.072000,-0.072000,0,1,1,1,1
Kepler-452 b,Kepler-452,1.630,0.230,-0.200,0,1.04,0.05,-0.05,0,0.019900,0.001800,-0.002100,0,1,1,1,1
Kepler-50 b,Kepler-50,1.710,0.050,-0.100,0,1.24,0.05,-0.05,0,0.009900,0.000500,-0.001100,0,1,1,2,1
Kepler-50 c,Kepler-50,2.170,0.070,-0.080,0,1.24,0.05,-0.05,0,0.015900,0.001000,-0.001100,0,1,1,2,1
Kepler-549 d,Kepler-549,4.200,0.450,-0.500,0,0.86,0.06,-0.03,0,0.179800,0.002880,-0.002880,0,1,1,3,1
Kepler-58 e,Kepler-58,1.610,0.520,-0.220,0,1.02,0.17,-0.12,0,0.018810,0.001450,-0.001450,0,1,1,4,1
Kepler-618 d,Kepler-619,4.170,1.310,-0.440,0,1.04,0.14,-0.14,0,0.118510,0.006380,-0.006380,0,1,1,3,1
Kepler-62 b,Kepler-62,1.310,0.040,-0.040,0,0.69,0.02,-0.02,0,0.043000,0.001000,-0.001000,0,1,1,5,1
Kepler-62 c,Kepler-62,0.540,0.030,-0.030,0,0.69,0.02,-0.02,0,0.007000,0.001000,-0.001000,0,1,1,5,1
Kepler-62 d,Kepler-62,1.950,0.070,-0.070,0,0.69,0.02,-0.02,0,0.092000,0.002000,-0.002000,0,1,1,5,1
Kepler-62 e,Kepler-62,1.610,0.050,-0.050,0,0.69,0.02,-0.02,0,0.070000,0.003000,-0.003000,0,1,1,5,1
Kepler-62 f,Kepler-62,1.410,0.070,-0.070,0,0.69,0.02,-0.02,0,0.042000,0.004000,-0.004000,0,1,1,5,1
Kepler-65 b,Kepler-65,1.420,0.030,-0.030,0,1.25,0.06,-0.06,0,0.008500,0.000160,-0.000110,0,1,1,4,1
Kepler-65 c,Kepler-65,2.580,0.060,-0.060,0,1.25,0.06,-0.06,0,0.028200,0.000500,-0.000200,0,1,1,4,1
Kepler-65 d,Kepler-65,1.520,0.040,-0.040,0,1.25,0.06,-0.06,0,0.009800,0.000200,-0.000200,0,1,1,4,1
Kepler-656 c,Kepler-656,1.410,0.380,-0.110,0,1.05,0.07,-0.11,0,0.016900,0.001460,-0.001460,0,1,1,2,1
Kepler-69 b,Kepler-69,2.240,0.440,-0.290,0,0.81,0.09,-0.08,0,0.059700,,,0,1,1,2,1
Kepler-69 c,Kepler-69,1.710,0.340,-0.230,0,0.81,0.09,-0.08,0,0.035000,,,0,1,1,2,1
Kepler-763 c,Kepler-763,1.420,0.070,-0.100,0,0.80,0.05,-0.03,0,0.030230,0.002040,-0.002040,0,1,1,3,1
Kepler-763 d,Kepler-763,1.670,0.080,-0.120,0,0.80,0.05,-0.03,0,0.041830,0.002410,-0.002410,0,1,1,3,1
Kepler-77 b,Kepler-77,10.761,0.179,-0.179,0,0.95,0.04,-0.04,0,0.984900,0.005100,-0.005100,0,1,1,1,1
Kepler-784 c,Kepler-784,1.550,0.240,-0.360,0,1.02,0.09,-0.08,0,0.011040,0.000500,-0.000500,0,1,1,2,1
Kepler-79 b,Kepler-79,3.470,0.070,-0.070,0,1.17,0.04,-0.04,0,0.067510,0.000830,-0.000920,0,1,1,4,1
Kepler-79 c,Kepler-79,3.720,0.080,-0.080,0,1.17,0.04,-0.04,0,0.078990,0.000900,-0.000950,0,1,1,4,1
Kepler-79 d,Kepler-79,7.160,0.130,-0.160,0,1.17,0.04,-0.04,0,0.296800,0.001100,-0.001300,0,1,1,4,1
Kepler-79 e,Kepler-79,3.490,0.140,-0.140,0,1.17,0.04,-0.04,0,0.045300,0.002600,-0.002800,0,1,1,4,1
Kepler-864 c,Kepler-864,1.620,0.470,-0.190,0,1.27,0.14,-0.16,0,0.017150,0.001260,-0.001260,0,1,1,2,1
Kepler-865 c,Kepler-865,0.890,0.190,-0.130,0,0.78,0.12,-0.06,0,0.010190,0.000920,-0.000920,0,1,1,2,1
Kepler-880 c,Kepler-880,2.870,0.580,-0.940,0,1.71,0.17,-0.32,0,0.008810,0.000940,-0.000940,0,1,1,2,1
Kepler-896 c,Kepler-896,3.150,0.730,-0.250,0,0.88,0.08,-0.09,0,0.087990,0.003310,-0.003310,0,1,1,2,1
Kepler-949 c,Kepler-949,2.970,0.610,-0.430,0,0.82,0.10,-0.06,0,0.113180,0.002700,-0.002700,0,1,1,2,1
Kepler-975 c,Kepler-975,10.690,6.940,-6.300,0,0.95,0.20,-0.14,0,0.074830,0.002370,-0.002370,0,1,1,2,1
LHS 1140 b,LHS 1140,1.635,0.046,-0.046,0,0.19,0.01,-0.01,0,0.493000,0.027000,-0.027000,0,1,1,2,1
LHS 1140 c,LHS 1140,1.169,0.037,-0.038,0,0.19,0.01,-0.01,0,0.252000,0.016000,-0.015000,0,1,1,2,1
LHS 475 b,LHS 475,0.991,0.050,-0.050,0,0.26,,,0,0.110100,0.006000,-0.006000,0,1,1,1,1
LP 890-9 b,LP 890-9,1.320,0.053,-0.027,0,0.12,0.00,0.00,0,0.623800,0.016800,-0.015300,0,1,1,2,1
LP 890-9 c,LP 890-9,1.367,0.055,-0.039,0,0.12,0.00,0.00,0,0.665900,0.028200,-0.027300,0,1,1,2,1
MASCARA-1 b,MASCARA-1,17.901,0.202,-0.213,0,1.90,0.06,-0.07,0,0.621600,0.003500,-0.003300,0,1,1,1,1
NGTS-13 b,NGTS-13,12.801,0.516,-0.516,0,1.30,0.11,-0.18,0,0.430000,0.040000,-0.040000,0,1,1,1,1
OGLE-TR-10 b,OGLE-TR-10,14.011,1.569,-1.345,0,1.14,0.12,,0,1.210000,0.044000,-0.044000,0,1,1,1,1
OGLE-TR-113 b,OGLE-TR-113,12.251,0.314,-0.213,0,0.78,0.02,,0,2.103000,0.047000,-0.014000,0,1,1,1,1
OGLE-TR-132 b,OGLE-TR-132,13.450,1.680,-1.230,0,1.30,0.07,-0.07,0,0.917000,,,0,1,1,1,1
OGLE-TR-182 b,OGLE-TR-182,12.666,2.690,-0.897,0,1.14,0.05,,0,1.040000,0.083000,-0.080000,0,1,1,1,1
OGLE-TR-211 b,OGLE-TR-211,15.244,2.018,-1.009,0,1.33,0.05,,0,0.723000,0.070000,-0.066000,0,1,1,1,1
OGLE2-TR-L9 b,OGLE2-TR-L9,18.046,0.448,-0.448,0,1.52,0.08,,0,1.177000,0.021000,-0.021000,0,1,1,1,1
PH2 b,PH2,10.120,0.560,-0.560,0,0.94,0.02,-0.02,0,0.988200,0.012600,-0.012600,0,1,1,1,1
Qatar-1 b,Qatar-1,12.812,0.291,-0.280,0,0.84,0.04,-0.04,0,2.140000,0.019000,-0.019000,0,1,1,1,1
Qatar-3 b,Qatar-3,12.285,1.569,-1.569,0,1.15,0.06,-0.06,0,0.789000,0.032000,-0.032000,0,1,1,1,1
Qatar-4 b,Qatar-4,12.722,1.233,-1.233,0,0.90,0.05,-0.05,0,1.902000,0.083000,-0.083000,0,1,1,1,1
Qatar-5 b,Qatar-5,12.408,0.717,-0.717,0,1.13,0.06,-0.06,0,1.126000,0.028000,-0.028000,0,1,1,1,1
SWEEPS-11 b,SWEEPS-11,12.666,2.354,-2.354,0,1.10,,,0,0.600000,,,0,1,1,1,1
SWEEPS-4 b,SWEEPS-4,9.079,1.121,-1.121,0,1.24,,,0,0.500000,,,0,1,1,1,1
TOI-1064 b,TOI-1064,2.587,0.043,-0.042,0,0.75,0.03,-0.03,0,0.106700,0.002900,-0.002700,0,1,1,2,1
TOI-122 b,TOI-122,2.720,0.180,-0.180,0,0.31,0.01,-0.01,0,0.560000,,,0,1,1,1,1
TOI-1221 b,TOI-1221,2.910,0.130,-0.120,0,0.93,0.22,-0.22,0,0.072000,0.004000,-0.003000,0,1,1,1,1
TOI-1231 b,TOI-1231,3.650,0.160,-0.150,0,0.48,0.02,-0.02,0,0.492000,0.027000,-0.024000,0,1,1,1,1
TOI-125 b,TOI-125,2.726,0.075,-0.075,0,0.86,0.04,-0.04,0,0.087000,0.004300,-0.004000,0,1,1,3,1
TOI-125 c,TOI-125,2.759,0.100,-0.100,0,0.86,0.04,-0.04,0,0.089100,0.006000,-0.005700,0,1,1,3,1
TOI-125 d,TOI-125,2.930,0.170,-0.170,0,0.86,0.04,-0.04,0,0.100000,0.012000,-0.011000,0,1,1,3,1
TOI-1260 b,TOI-1260,2.410,0.050,-0.050,0,0.68,0.10,-0.06,0,0.108200,0.003700,-0.003700,0,1,1,3,1
TOI-1260 c,TOI-1260,2.760,0.070,-0.070,0,0.68,0.10,-0.06,0,0.142100,0.005500,-0.005500,0,1,1,3,1
TOI-1260 d,TOI-1260,3.120,0.080,-0.080,0,0.68,0.10,-0.06,0,0.180800,0.007800,-0.007800,0,1,1,3,1
TOI-1266 b,TOI-1266,2.370,0.160,-0.120,0,0.45,0.03,-0.03,0,0.276000,0.010000,-0.011000,0,1,1,2,1
TOI-1266 c,TOI-1266,1.560,0.150,-0.130,0,0.45,0.03,-0.03,0,0.120000,0.017000,-0.017000,0,1,1,2,1
TOI-1268 b,TOI-1268,9.100,0.600,-0.600,0,0.96,0.04,-0.04,0,0.818600,0.020500,-0.019200,0,1,1,1,1
TOI-1416 b,TOI-1416,1.620,0.080,-0.080,0,0.80,0.04,-0.04,0,0.045500,,,0,1,1,1,1
TOI-1431 b,TOI-1431,16.701,0.560,-0.560,0,1.90,0.10,-0.08,0,0.579700,0.000700,-0.000700,0,1,1,1,1
TOI-1470 b,TOI-1470,2.180,0.040,-0.040,0,0.47,0.01,-0.01,0,0.181400,0.006500,-0.006100,0,1,1,2,1
TOI-1470 c,TOI-1470,2.470,0.020,-0.020,0,0.47,0.01,-0.01,0,0.231500,0.003400,-0.003400,0,1,1,2,1
TOI-1478 b,TOI-1478,11.882,0.448,-0.437,0,0.95,0.06,-0.04,0,1.083000,0.032000,-0.032000,0,1,1,1,1
TOI-157 b,TOI-157,14.415,0.258,-0.224,0,0.95,0.02,-0.02,0,1.283000,0.013000,-0.012000,0,1,1,1,1
TOI-1601 b,TOI-1601,13.888,0.516,-0.437,0,1.52,0.05,-0.05,0,0.339500,0.008300,-0.008100,0,1,1,1,1
TOI-1680 b,TOI-1680,1.466,0.063,-0.049,0,0.18,0.00,0.00,0,0.407000,0.019000,-0.018000,0,1,1,1,1
TOI-169 b,TOI-169,12.173,0.908,-0.538,0,1.15,0.07,-0.07,0,0.750000,0.100000,-0.053000,0,1,1,1,1
TOI-1695 b,TOI-1695,1.900,0.160,-0.140,0,0.51,0.01,-0.01,0,0.123600,0.008300,-0.008100,0,1,1,1,1
TOI-172 b,TOI-172,10.817,0.359,-0.325,0,1.13,0.07,-0.06,0,0.312000,0.010000,-0.010000,0,1,1,1,1
TOI-178 b,TOI-178,1.152,0.073,-0.070,0,0.65,0.03,-0.03,0,0.026300,0.003200,-0.003000,0,1,1,6,1
TOI-178 c,TOI-178,1.669,0.114,-0.099,0,0.65,0.03,-0.03,0,0.055100,0.006800,-0.005900,0,1,1,6,1
TOI-178 d,TOI-178,2.572,0.075,-0.078,0,0.65,0.03,-0.03,0,0.131300,0.006400,-0.006500,0,1,1,6,1
TOI-178 e,TOI-178,2.207,0.088,-0.090,0,0.65,0.03,-0.03,0,0.096800,0.006900,-0.007100,0,1,1,6,1
TOI-178 f,TOI-178,2.287,0.108,-0.110,0,0.65,0.03,-0.03,0,0.103700,0.009400,-0.009000,0,1,1,6,1
TOI-178 g,TOI-178,2.870,0.140,-0.130,0,0.65,0.03,-0.03,0,0.163300,0.015700,-0.013900,0,1,1,6,1
TOI-1789 b,TOI-1789,16.141,2.690,-1.569,0,1.51,0.06,-0.14,0,0.463000,0.160000,-0.080000,0,1,1,1,1
TOI-1807 b,TOI-1807,1.258,0.040,-0.039,0,0.75,0.03,-0.02,0,0.031200,0.001500,-0.001500,0,1,1,1,1
TOI-181 b,TOI-181,6.956,0.087,-0.101,0,0.82,0.04,-0.04,0,0.730000,0.018000,-0.021000,0,1,1,1,1
TOI-1811 b,TOI-1811,11.142,0.280,-0.258,0,0.82,0.03,-0.03,0,1.761000,0.019000,-0.019000,0,1,1,1,1
TOI-198 b,TOI-198,1.440,0.080,-0.080,0,0.47,0.02,-0.02,0,0.089400,0.006400,-0.006400,0,1,1,1,1
TOI-2025 b,TOI-2025,11.893,0.370,-0.347,0,1.20,0.07,-0.09,0,0.557800,0.007800,-0.006500,0,1,1,1,1
TOI-2096 b,TOI-2096,1.243,0.077,-0.072,0,0.23,0.01,-0.01,0,0.266000,0.017000,-0.017000,0,1,1,2,1
TOI-2096 c,TOI-2096,1.914,0.095,-0.095,0,0.23,0.01,-0.01,0,0.636000,0.018000,-0.018000,0,1,1,2,1
TOI-2109 b,TOI-2109,15.098,0.527,-0.527,0,1.45,0.07,-0.07,0,0.665100,0.003600,-0.003600,0,1,1,1,1
TOI-2145 b,TOI-2145,11.982,0.325,-0.314,0,1.72,0.06,-0.07,0,0.159700,0.003500,-0.003200,0,1,1,1,1
TOI-2154 b,TOI-2154,16.287,0.594,-0.538,0,1.23,0.08,-0.09,0,1.143000,0.020000,-0.019000,0,1,1,1,1
TOI-216.01,TOI-216,10.100,0.200,-0.200,0,0.77,0.03,-0.03,0,1.831000,0.012000,-0.012000,0,1,1,2,1
TOI-216.02,TOI-216,8.000,3.000,-2.000,0,0.77,0.03,-0.03,0,0.475000,0.014000,-0.015000,0,1,1,2,1
TOI-2207 b,TOI-2207,11.153,0.314,-0.303,0,1.30,0.07,-0.07,0,0.427300,0.009800,-0.009000,0,1,1,1,1
TOI-2236 b,TOI-2236,14.370,0.359,-0.347,0,1.34,0.07,-0.07,0,0.701100,0.009200,-0.009000,0,1,1,1,1
TOI-2257 b,TOI-2257,2.194,0.113,-0.111,0,0.33,0.02,-0.02,0,0.413000,0.018000,-0.017000,0,1,1,1,1
TOI-2364 b,TOI-2364,8.608,0.258,-0.202,0,0.95,0.04,-0.05,0,0.794000,0.016000,-0.015000,0,1,1,1,1
TOI-237 b,TOI-237,1.440,0.120,-0.120,0,0.18,0.00,0.00,0,0.380000,,,0,1,1,1,1
TOI-2421 b,TOI-2421,10.368,0.392,-0.381,0,1.13,0.13,-0.06,0,0.294900,0.007100,-0.007500,0,1,1,1,1
