# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 18 22:25:20 2023
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and sy_snum = 1
# CONSTRAINT:  and tran_flag not null
# CONSTRAINT:  and pl_orbperstr not null
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and pl_massestr not null
# CONSTRAINT:  and pl_insolstr not null
# CONSTRAINT:  and pl_eqtstr not null
# CONSTRAINT:  and pl_tranmidstr not null
# CONSTRAINT:  and pl_impparstr not null
# CONSTRAINT:  and pl_trandepstr not null
# CONSTRAINT:  and pl_trandurstr not null
# CONSTRAINT:  and pl_ratdorstr not null
# CONSTRAINT:  and pl_ratrorstr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_lumstr not null
# CONSTRAINT:  and st_loggstr not null)
# CONSTRAINT:  order by pl_tranmid desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN tran_flag:      Detected by Transits
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_impparerr1:  Impact Parameter Upper Unc.
# COLUMN pl_impparerr2:  Impact Parameter Lower Unc.
# COLUMN pl_impparlim:   Impact Parameter Limit Flag
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [hours]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [hours]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Semi-Major Axis to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,tran_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
TOI-169 b,TOI-169,1,1,1,1,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,2.25544770,0.00000630,-0.00000630,0,0.035240,0.000690,-0.000790,0,12.173,0.908,-0.538,0,251.40353,20.34112,-19.06980,0,1443.00,73.00,-66.00,0,1715,22,-20,0,2458327.441740,0.000650,-0.000660,0,0.9221,0.0140,-0.0098,0,0.750000,0.100000,-0.053000,0,1.7064000,0.0288000,-0.0288000,0,5.880000,0.150000,-0.160000,0,0.08660,0.00560,-0.00310,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,5880.00,54.00,-49.00,0,1.29,0.02,-0.02,0,1.15,0.07,-0.07,0,0.253,0.016,-0.015,0,4.28,0.03,-0.03,0
TOI-157 b,TOI-157,1,1,1,1,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,2.08454350,0.00000230,-0.00000230,0,0.031380,0.000250,-0.000200,0,14.415,0.258,-0.224,0,375.03940,41.31790,-38.13960,0,1062.00,57.00,-51.00,0,1588,21,-20,0,2458326.547710,0.000220,-0.000210,0,0.8045,0.0069,-0.0068,0,1.283000,0.013000,-0.012000,0,2.1458400,0.0132000,-0.0124800,0,5.785000,0.066000,-0.069000,0,0.11329,0.00056,-0.00054,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,5404.00,70.00,-67.00,0,1.17,0.02,-0.01,0,0.95,0.02,-0.02,0,0.020,0.022,-0.021,0,4.28,0.01,-0.01,0
K2-261 b,K2-261,1,1,1,1,<a refstr=IKWUT_UKWA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..209I/abstract target=ref>Ikwut-Ukwa et al. 2020</a>,11.63347800,0.00001700,-0.00001700,0,0.103400,0.001500,-0.001600,0,9.528,0.392,-0.381,0,59.75174,7.94571,-7.94571,0,180.00,15.00,-10.00,0,1046,21,-22,0,2457976.641920,0.000280,-0.000330,0,0.3500,0.1500,-0.2100,0,0.281400,0.012000,-0.007800,0,5.1380000,0.0480000,-0.0340000,0,13.530000,0.480000,-0.440000,0,0.05304,0.00110,-0.00074,0,<a refstr=IKWUT_UKWA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..209I/abstract target=ref>Ikwut-Ukwa et al. 2020</a>,5445.00,77.00,-76.00,0,1.64,0.06,-0.06,0,1.09,0.05,-0.05,0,0.328,0.039,-0.041,0,4.04,0.03,-0.03,0
WASP-163 b,WASP-163,1,1,1,1,<a refstr=BARKAOUI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...43B/abstract target=ref>Barkaoui et al. 2019</a>,1.60968840,0.00000150,-0.00000150,0,0.026600,0.001400,-0.001400,0,13.473,1.087,-1.087,0,594.34210,66.74430,-66.74430,0,1200.00,330.00,-330.00,0,1638,68,-68,0,2457918.462000,0.000400,-0.000400,0,0.4480,0.0630,-0.0940,0,1.417000,0.067000,-0.067000,0,2.2320000,0.0240000,-0.0240000,0,5.620000,0.260000,-0.210000,0,0.11900,0.00300,-0.00300,0,<a refstr=BARKAOUI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...43B/abstract target=ref>Barkaoui et al. 2019</a>,5500.00,200.00,-200.00,0,1.01,0.07,-0.07,0,0.97,0.15,-0.15,0,-0.076,0.093,-0.098,0,4.41,0.04,-0.04,0
WASP-170 b,WASP-170,1,1,1,1,<a refstr=BARKAOUI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...43B/abstract target=ref>Barkaoui et al. 2019</a>,2.34478022,0.00000360,-0.00000360,0,0.033700,0.001800,-0.001800,0,12.285,0.953,-0.953,0,508.52800,63.56600,-63.56600,0,680.00,170.00,-180.00,0,1422,42,-42,0,2457802.391500,0.000200,-0.000200,0,0.6890,0.0210,-0.0210,0,1.382000,0.001000,-0.001000,0,2.0400000,0.0240000,-0.0240000,0,7.710000,0.210000,-0.180000,0,0.11750,0.00410,-0.00410,0,<a refstr=BARKAOUI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...43B/abstract target=ref>Barkaoui et al. 2019</a>,5600.00,150.00,-150.00,0,0.94,0.06,-0.06,0,0.93,0.15,-0.15,0,-0.114,0.073,-0.087,0,4.47,0.03,-0.03,0
K2-237 b,K2-237,1,1,1,1,<a refstr=IKWUT_UKWA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..209I/abstract target=ref>Ikwut-Ukwa et al. 2020</a>,2.18053539,0.00000086,-0.00000085,0,0.035580,0.000480,-0.000650,0,16.197,0.549,-0.504,0,433.20012,34.96112,-29.24021,0,1860.00,210.00,-180.00,0,1828,48,-46,0,2457702.255123,0.000032,-0.000031,0,0.2010,0.0850,-0.1200,0,1.385000,0.065000,-0.060000,0,2.9278000,0.0094000,-0.0089000,0,6.070000,0.140000,-0.180000,0,0.11770,0.00270,-0.00260,0,<a refstr=IKWUT_UKWA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..209I/abstract target=ref>Ikwut-Ukwa et al. 2020</a>,6360.00,190.00,-200.00,0,1.26,0.03,-0.03,0,1.26,0.05,-0.07,0,0.371,0.052,-0.053,0,4.34,0.02,-0.03,0
K2-114 b,K2-114,1,1,1,1,<a refstr=IKWUT_UKWA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..209I/abstract target=ref>Ikwut-Ukwa et al. 2020</a>,11.39093110,0.00000340,-0.00000340,0,0.094300,0.001400,-0.001200,0,10.447,0.347,-0.347,0,638.83510,38.13941,-38.13941,0,40.00,3.30,-3.10,0,701,14,-14,0,2457664.306830,0.000160,-0.000170,0,0.3610,0.0670,-0.1000,0,0.013520,0.000330,-0.000360,0,3.9700000,0.0290000,-0.0290000,0,24.630000,0.670000,-0.650000,0,0.11630,0.00140,-0.00160,0,<a refstr=IKWUT_UKWA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..209I/abstract target=ref>Ikwut-Ukwa et al. 2020</a>,4920.00,68.00,-69.00,0,0.82,0.02,-0.02,0,0.86,0.04,-0.03,0,-0.445,0.037,-0.038,0,4.54,0.03,-0.03,0
Qatar-4 b,Qatar-4,1,1,1,1,<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>,1.80535640,,,0,0.028030,0.000480,-0.000480,0,12.722,1.233,-1.233,0,1938.76300,171.62820,-171.62820,0,614.00,88.00,-88.00,0,1385,48,-48,0,2457637.773610,0.000460,-0.000460,0,0.3100,0.1900,-0.1900,0,1.902000,0.083000,-0.083000,0,2.1384000,0.0456000,-0.0456000,0,7.110000,0.480000,-0.480000,0,0.13790,0.00300,-0.00300,0,<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>,5215.00,50.00,-50.00,0,0.85,0.06,-0.06,0,0.90,0.05,-0.05,0,-0.318,0.064,-0.075,0,4.53,0.06,-0.06,0
KELT-20 b,KELT-20,1,1,1,1,<a refstr=LUND_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..194L/abstract target=ref>Lund et al. 2017</a>,3.47410850,0.00000190,-0.00000190,0,0.054200,0.001400,-0.002100,0,19.515,0.773,-0.829,0,1074.90106,,,1,4362.50,595.20,-536.40,0,2262,73,-73,0,2457503.120049,0.000190,-0.000190,0,0.5030,0.0250,-0.0280,0,1.309000,0.014000,-0.014000,0,3.5755200,0.0218400,-0.0211200,0,7.420000,0.130000,-0.130000,0,0.11440,0.00062,-0.00061,0,<a refstr=LUND_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..194L/abstract target=ref>Lund et al. 2017</a>,8720.00,250.00,-260.00,0,1.56,0.06,-0.06,0,1.76,0.14,-0.19,0,1.104,0.069,-0.070,0,4.29,0.02,-0.02,0
WASP-161 b,WASP-161,1,1,1,1,<a refstr=BARKAOUI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...43B/abstract target=ref>Barkaoui et al. 2019</a>,5.40604250,0.00000480,-0.00000480,0,0.067300,0.002300,-0.002300,0,12.812,0.729,-0.650,0,791.39670,66.74430,-66.74430,0,990.00,250.00,-190.00,0,1557,34,-29,0,2457416.528900,0.001100,-0.001100,0,0.1400,0.1500,-0.1000,0,0.450920,0.000230,-0.000230,0,5.1288000,0.0528000,-0.0528000,0,8.490000,0.130000,-0.280000,0,0.06710,0.00170,-0.00170,0,<a refstr=BARKAOUI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...43B/abstract target=ref>Barkaoui et al. 2019</a>,6400.00,100.00,-100.00,0,1.71,0.08,-0.07,0,1.39,0.14,-0.14,0,0.647,0.052,-0.050,0,4.11,0.02,-0.03,0
Qatar-5 b,Qatar-5,1,1,1,1,<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>,2.87923190,,,0,0.041270,0.000670,-0.000670,0,12.408,0.717,-0.717,0,1373.02560,57.20940,-57.20940,0,669.00,60.00,-60.00,0,1415,31,-31,0,2457336.758242,0.000098,-0.000098,0,0.1800,0.1600,-0.1600,0,1.126000,0.028000,-0.028000,0,2.9088000,0.0360000,-0.0360000,0,8.270000,0.340000,-0.340000,0,0.10610,0.00130,-0.00130,0,<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>,5747.00,49.00,-49.00,0,1.08,0.05,-0.05,0,1.13,0.06,-0.06,0,0.056,0.044,-0.048,0,4.43,0.04,-0.04,0
Qatar-3 b,Qatar-3,1,1,1,1,<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>,2.50792040,,,0,0.037830,0.000690,-0.000690,0,12.285,1.569,-1.569,0,1369.84730,149.38010,-149.38010,0,1330.00,287.00,-287.00,0,1681,84,-84,0,2457302.453004,0.000100,-0.000100,0,0.3500,0.2200,-0.2200,0,0.789000,0.032000,-0.032000,0,3.1104000,0.0816000,-0.0816000,0,6.390000,0.590000,-0.590000,0,0.08880,0.00180,-0.00180,0,<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>,6007.00,52.00,-52.00,0,1.27,0.14,-0.14,0,1.15,0.06,-0.06,0,0.279,0.094,-0.120,0,4.29,0.08,-0.08,0
KELT-21 b,KELT-21,1,1,1,1,<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>,3.61276470,0.00000330,-0.00000330,0,0.052240,0.000350,-0.000340,0,17.777,0.437,-0.448,0,1242.71530,,,1,2950.00,169.00,-169.00,0,2051,29,-30,0,2457295.934340,0.000410,-0.000420,0,0.4230,0.0330,-0.0390,0,0.990000,0.014000,-0.014000,0,4.1054400,0.0218400,-0.0220800,0,6.860000,0.130000,-0.120000,0,0.09952,0.00071,-0.00073,0,<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..100J/abstract target=ref>Johnson et al. 2018</a>,7598.00,81.00,-84.00,0,1.64,0.03,-0.03,0,1.46,0.03,-0.03,0,0.905,0.028,-0.030,0,4.17,0.01,-0.01,0
KELT-12 b,KELT-12,1,1,1,1,<a refstr=STEVENS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..178S/abstract target=ref>Stevens et al. 2017</a>,5.03162300,0.00003200,-0.00003100,0,0.067080,0.000970,-0.001300,0,19.952,1.906,-1.793,0,301.93850,44.49620,-44.49620,0,1749.00,235.00,-213.00,0,1800,57,-57,0,2457083.660459,0.000894,-0.000894,0,0.5860,0.0600,-0.0820,0,0.596000,0.029000,-0.028000,0,5.7624000,0.1176000,-0.1032000,0,6.080000,0.400000,-0.360000,0,0.07720,0.00190,-0.00180,0,<a refstr=STEVENS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..178S/abstract target=ref>Stevens et al. 2017</a>,6279.00,51.00,-51.00,0,2.37,0.17,-0.17,0,1.59,0.07,-0.09,0,0.892,0.062,-0.066,0,3.89,0.05,-0.05,0
KELT-10 b,KELT-10,1,1,1,1,<a refstr=KUHN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.4281K/abstract target=ref>Kuhn et al. 2016</a>,4.16627390,0.00000630,-0.00000630,0,0.052500,0.000860,-0.000970,0,15.681,0.773,-0.549,0,215.80657,12.39537,-12.07754,0,600.00,50.00,-40.00,0,1377,28,-23,0,2457066.720450,0.000270,-0.000270,0,0.2300,0.1100,-0.1400,0,1.416000,0.034000,-0.029000,0,3.7440000,0.0384000,-0.0288000,0,9.340000,0.210000,-0.320000,0,0.11900,0.00140,-0.00120,0,<a refstr=KUHN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459.4281K/abstract target=ref>Kuhn et al. 2016</a>,5948.00,74.00,-74.00,0,1.21,0.05,-0.04,0,1.11,0.06,-0.06,0,0.217,0.043,-0.039,0,4.32,0.02,-0.03,0
WASP-19 b,WASP-19,1,1,1,1,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,0.78883852,0.00000075,-0.00000082,0,0.016520,0.000500,-0.000560,0,15.861,0.493,-0.538,0,366.77398,24.79062,-25.42627,0,3320.00,190.00,-180.00,0,2113,29,-29,0,2456402.712800,0.001700,-0.001400,0,0.6671,0.0087,-0.0091,0,2.077000,0.014000,-0.014000,0,1.6070000,0.0070000,-0.0070000,0,3.533000,0.048000,-0.052000,0,0.14410,0.00049,-0.00050,0,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,5616.00,66.00,-65.00,0,1.01,0.03,-0.03,0,0.96,0.09,-0.10,0,-0.043,0.033,-0.034,0,4.42,0.02,-0.02,0
HAT-P-9 b,HAT-P-9,1,1,1,1,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...82W/abstract target=ref>Wang et al. 2019</a>,3.92281072,0.00000102,-0.00000102,0,0.052870,0.000780,-0.000780,0,15.614,0.751,-0.729,0,238.05467,20.34112,-20.02329,0,931.00,73.00,-69.00,0,1540,32,-30,0,2455484.913088,0.000386,-0.000386,0,0.5100,0.0440,-0.0520,0,1.144000,0.018000,-0.019000,0,3.3600000,0.0336000,-0.0336000,0,8.500000,0.340000,-0.350000,0,0.10696,0.00086,-0.00087,0,<a refstr=WANG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...82W/abstract target=ref>Wang et al. 2019</a>,6350.00,150.00,-150.00,0,1.34,0.07,-0.06,0,1.28,0.06,-0.06,0,0.418,0.041,-0.040,0,4.29,0.03,-0.04,0
Kepler-1654 b,Kepler-1654,1,1,1,1,<a refstr=BEICHMAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..158B/abstract target=ref>Beichman et al. 2018</a>,1047.83560000,0.00180000,-0.00190000,0,2.026000,0.037000,-0.035000,0,9.180,0.213,-0.191,0,158.91500,,,1,0.30,0.02,-0.02,0,206,4,-4,0,2455375.134100,0.001400,-0.001500,0,0.1140,0.1100,-0.0790,0,0.509600,0.004700,-0.004500,0,22.9920000,0.0840000,-0.0936000,0,370.300000,2.200000,-4.700000,0,0.07138,0.00033,-0.00032,0,<a refstr=BEICHMAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..158B/abstract target=ref>Beichman et al. 2018</a>,5597.00,95.00,-93.00,0,1.18,0.03,-0.02,0,1.01,0.06,-0.05,0,0.090,0.040,-0.041,0,4.30,0.01,-0.01,0
Kepler-1514 b,Kepler-1514,1,1,2,1,<a refstr=DALBA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..103D/abstract target=ref>Dalba et al. 2021</a>,217.83184000,0.00012000,-0.00012000,0,0.753000,0.013000,-0.014000,0,12.420,0.258,-0.258,0,1678.14240,69.92260,-69.92260,0,3.23,0.21,-0.18,0,388,6,-5,0,2455071.814110,0.000460,-0.000460,0,0.1690,0.0300,-0.0390,0,0.780500,0.002500,-0.002700,0,21.3268800,0.0184800,-0.0187200,0,125.600000,2.200000,-2.200000,0,0.08835,0.00014,-0.00015,0,<a refstr=DALBA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..103D/abstract target=ref>Dalba et al. 2021</a>,6145.00,99.00,-80.00,0,1.29,0.03,-0.03,0,1.20,0.07,-0.06,0,0.328,0.031,-0.025,0,4.29,0.02,-0.02,0
